PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,Mora_mas_90
12,5,,CASADO,56964.41315,238883.0229,0
10,8,,CASADO,46300,380000,0
21,9,926,CASADO,86451.73212,328845.4275,0
48,1,856,DIVORCIADO,235500,625000,0
24,2,,DIVORCIADO,163447.1151,570695.2342,0
48,1,728,CASADO,36720.4049,105988.4414,0
12,1,,CASADO,36595.53027,722187.1552,0
20,8,,CASADO,59896.03161,220395.0401,0
14,3,824,VIUDO,53945.41692,93403.72541,0
36,2,,DIVORCIADO,83367.15981,268455.0382,0
12,2,741,CASADO,8345.546568,106822.9961,0
18,1,873,SOLTERO,13789.6201,220987.5016,0
12,4,607,CASADO,77980.77092,145080.504,0
21,3,858,SOLTERO,71996.20013,99742.84653,0
10,1,772,CASADO,23192.25646,57115.25846,0
48,5,716,CASADO,264331.6574,725443.5486,0
48,7,655,CASADO,275085.242,655006.9548,0
48,8,,CASADO,194701.6014,618405.0007,0
48,4,474,CASADO,71771.70048,283748.5833,0
24,5,705,CASADO,157833.234,156117.6553,0
36,2,873,CASADO,116957.4812,181644.2638,0
48,1,791,CASADO,212278.3773,134999.7018,0
15,6,358,CASADO,26100,200000,0
12,8,,DIVORCIADO,83469.35125,240352.4904,0
48,2,725,DIVORCIADO,129228.8103,385728.4186,0
48,4,710,CASADO,150496.3044,100330.8696,0
18,1,,SOLTERO,306516.7152,200150.8402,0
48,5,837,DIVORCIADO,31973.57383,100892.2447,0
36,6,,CASADO,73523.361,220276.3812,0
44,7,798,CASADO,74053.7371,206725.6929,0
18,1,,SOLTERO,98264.53152,495611.6042,0
48,1,565,CASADO,88662.35273,187431.2949,0
36,2,,CASADO,119963.4418,184977.6427,0
30,1,680,DIVORCIADO,115674.5099,165380.5543,0
34,1,689,DIVORCIADO,23193.05432,54786.74248,0
48,1,719,CASADO,127500,175000,0
48,2,820,CASADO,143877.2228,146047.0649,0
21,2,478,CASADO,20586.94356,153448.9775,0
12,1,666,DIVORCIADO,19729.15424,102934.7178,1
12,2,824,CASADO,144536.4522,194951.9273,1
12,2,556,CASADO,44795.66423,123902.9011,0
48,1,723,CASADO,53707.72823,69549.57613,1
15,1,711,CASADO,78629.65968,173873.9403,0
48,5,782,DIVORCIADO,73579.26124,209681.8325,0
48,6,813,DIVORCIADO,95200.22443,204931.99,0
24,1,,SOLTERO,48852.40631,71663.24934,1
48,4,839,CASADO,199031.948,225171.4119,0
